id,name,prompt,test_suite,type,created_at,updated_at
13,Three,"/*Write a function three() that returns the value 3.
Example usage:
three(1); => 3
three(2); => 3*/

var three = function (n) {
  
};","assert.equal(three(1),3);
assert.equal(three(2),3);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
14,isPalindrome,"/*Write a function that determines if an input string, str, is a palindrome

Example usage:
isPalindrome(""racecar"") => true
isPalindrome(""peanut"") => false*/

var isPalindrome = function (str) {
  
};","assert.equal(isPalindrome(""hannah""), true);
assert.equal(isPalindrome(""racecar""), true);
assert.equal(isPalindrome(""a""), true);
assert.equal(isPalindrome(""""), true);
assert.equal(isPalindrome(""Hannah""), false);
assert.equal(isPalindrome(""hahaha""), false);
assert.equal(isPalindrome(""oh no""), false);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
15,Four,"/*Write a function four() that returns the value 4.
Example usage:
four(1); => 4
four(2); => 4*/

var four = function (n) {
  
};","assert.equal(four(1),4);
assert.equal(four(2),4);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
16,moveZeros,"/*Write a function that moves all zeros in an input array, arr, to the end of the array, while maintaining the relative order of the non-zero elements.
Move the numbers in-place without making a copy of the input array

Example usage:
var arr = [0, 1, 0, 3, 12];
moveZeros(arr);
arr => [1, 3, 12, 0, 0]*/

var moveZeros = function (arr) {
  
};","var arr = [0,1,0,3,12];
var arr2 = [0,0,1];
var arr3 = [1];
var arr4 = [1,1,0,4,0,3,0,2];
moveZeros(arr);
moveZeros(arr2);
moveZeros(arr3);
moveZeros(arr4);
assert.deepEqual(arr, [1,3,12,0,0]);
assert.deepEqual(arr2, [1,0,0]);
assert.deepEqual(arr3, [1]);
assert.deepEqual(arr4, [1,1,4,3,2,0,0,0]);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
17,colToNum,"/*Write a function that converts an input string, str, representing spreadsheet column headers to numbers like so:

colToNum(""A"") => 1
colToNum(""B"") => 2
colToNum(""AA"") => 27

Assume only uppercase letters in the input string. ""A"".charCodeAt(0) = 65
*/

var colToNum = function (str) {
  
};","assert.equal(colToNum(""A""),1);
assert.equal(colToNum(""Z""),26);
assert.equal(colToNum(""AA""), 27);
assert.equal(colToNum(""BC""), 55);
assert.equal(colToNum(""AAA""), 703);
assert.equal(colToNum(""ZAZ""), 17628);
assert.equal(colToNum(""BBBBB""), 950510);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
18,addDigits,"/*Write a function that takes an input integer and sums its digits until the sum is single digit

Example usage:
addDigital(38) => 2 ==> 3+8=11 ==> 1+1=2 ==> return 2*/

var addDigits = function (num) {
  
};","assert.equal(addDigits(38), 2);
assert.equal(addDigits(111), 3);
assert.equal(addDigits(803), 2);
assert.equal(addDigits(888), 6);
assert.equal(addDigits(0), 0);
assert.equal(addDigits(999), 9);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
19,compressString,"/*Write a function that compresses an input string, str, while maintaining order of appearance, into this form:

compressString(""banana"") => ""b1a3n2""
compressString(""mississippi"") => ""m1i4s4p2""*/

var compressString = function (str) {
  
};","assert.equal(compressString(""banana""), ""b1a3n2"");
assert.equal(compressString(""mississippi""), ""m1i4s4p2"");
assert.equal(compressString(""abc""), ""a1b1c1"");
assert.equal(compressString(""hey !""), ""h1e1y1 1!1"");
assert.equal(compressString(""Hannah""), ""H1a2n2h1"");
assert.equal(compressString(""hahnbi""), ""h2a1n1b1i1"");",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
20,stepSum,"/*Write a function that returns number of possible ways to reach the top of a staircase containing n steps, given that you can take 1 or 2 steps per move.

Example usage:
stepSum(1) => 1
stepSum(4) => 5*/

var stepSum = function () {
  
};","assert.equal(stepSum(1),1);
assert.equal(stepSum(5),8);
assert.equal(stepSum(7),21);
assert.equal(stepSum(10),81);
assert.equal(stepSum(20),10946);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
21,findSingleNum,"/*Given an input array of integers, arr, in which every element appears twice, except for one element, which appears only once. Write a function that finds that element

Example usage:
findSingleSum([1,2,3,4,1,2,3]) => 4
findSingleSum([9,9,5,5,1]) => 1*/

var findSingleSum = function (arr) {
  
};","assert.equal(findSingleSum([1,2,3,4,3,2,1],4));
assert.equal(findSingleSum([2,2,3,3,9,9,1],1));
assert.equal(findSingleSum([2,2,3],3));
assert.equal(findSingleSum([9,8,7,6,7,9,6],8));
assert.equal(findSingleSum([1,0,0,5,1],5));
assert.equal(findSingleSum([1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1],10));",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
22,romanNum,"/*Write a function that interprets roman numeral, str, into an integer, assuming that the input str in integer form will not be larger than 3999.
I = 1, V = 5, X = 10, L = 50, C = 100, D = 500, M = 1,000*/

var romanNum = function (str) {
  
};","assert.equal(romanNum(""LXXVII""),77);
assert.equal(romanNum(""III""),3);
assert.equal(romanNum(""VI""),6);
assert.equal(romanNum(""IV""),4);
assert.equal(romanNum(""IX""),9);
assert.equal(romanNum(""XLIII""),43);
assert.equal(romanNum(""MDCCC""),1800);
assert.equal(romanNum(""MDCCCXLIII""),1843);
assert.equal(romanNum(""MCMXCVI""),1996);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
23,isAnagram,"/*Write a function that given two input strings, str1 and st2, determins if str1 is an anagram of str2, ignoring spaces and capitalization

Example usage:
isAnagram(""Hi!"", ""!iH"") => true
isAnagram(""Hello"", ""hello"") => true*/

var isAnagram = function (str1, str2) {
  
};","assert.equal(isAnagram("""",""""),true);
assert.equal(isAnagram(""abc"",""bac""),true);
assert.equal(isAnagram(""Hi !"",""!ih""),true);
assert.equal(isAnagram(""Hello"",""hello""),true);
assert.equal(isAnagram(""Male chauvinism"",""Im such a vile man""),true);
assert.equal(isAnagram(""bat"",""cat""),false);",battle,2016-02-02 20:42:35.743-08,2016-02-02 20:42:35.743-08
